UserId,SubscriptionType,JoinYear,Genre,Country,Age,Gender,Device,PlanDuration,MSP,Videoquality,Resolution,CustomerLife,TotalSales
OTT-2,Basic,2020,Non-Fiction,India,47,Female,Tablet,1 Month,799,Best,4K+HDR,37,4794
OTT-3,Standard,2021,Self-Help,Thailand,39,Male,Smart TV,1 Month,549,Better,1080p,26,10431
OTT-4,Premium,2021,Non-Fiction,China,49,Female,Laptop,3 Month,549,Better,1080p,28,13725
OTT-5,Basic,2020,Romance,Vietnam,39,Male,Smartphone,1 Month,249,Good,720p,41,8715
OTT-6,Premium,2019,Romance,Philippines,39,Female,Smart TV,3 Month,799,Best,4K+HDR,47,31161
OTT-7,Basic,2020,Horror,Japan,35,Male,Tablet,1 Month,549,Better,1080p,36,17568
OTT-8,Standard,2020,Thriller,Thailand,44,Female,Laptop,1 Month,249,Good,720p,25,3984
OTT-9,Standard,2019,Crime,India,34,Male,Smartphone,3 Month,549,Better,1080p,48,20862
OTT-10,Basic,2020,Crime,Malaysia,32,Female,Smart TV,6 Month,799,Best,4K+HDR,37,28764
OTT-11,Premium,2021,Mystery,Japan,29,Female,Smartphone,6 Month,249,Good,720p,33,6474
OTT-12,Basic,2019,Comedy,South Korea,31,Male,Tablet,3 Month,799,Best,4K+HDR,47,35955
OTT-13,Standard,2019,Romance,South Korea,29,Female,Laptop,1 Month,549,Better,1080p,42,20862
OTT-14,Premium,2020,Drama,Thailand,35,Male,Smartphone,1 Month,249,Good,720p,31,5976
OTT-15,Basic,2019,Fantasy,India,46,Female,Smart TV,3 Month,549,Better,1080p,43,18666
OTT-16,Basic,2021,Autobiography,Philippines,31,Male,Tablet,1 Month,799,Best,4K+HDR,22,14382
OTT-17,Basic,2020,Drama,India,36,Female,Laptop,3 Month,249,Good,720p,42,9960
OTT-18,Standard,2020,Horror,Vietnam,38,Male,Smartphone,1 Month,549,Better,1080p,32,13725
OTT-19,Premium,2020,Crime,Vietnam,46,Female,Smart TV,6 Month,799,Best,4K+HDR,28,17578
